overview_date,portfolio_id,instrument_name,instrument_id,book_name,asset_value,dtd_ativo_fin,exposure_value,exposure_value_ontem,asset_value_ontem,dtd_ativo_pct,Year,Month,mtd_ativo_pct,ytd_ativo_pct,grupo_1,grupo_2,grupo_3
2025-07-01,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50190389.84,30131.9,50190389.84034415,50160257.94236052,50160257.94,0.0006007126206293589,2025.0,7.0,0.000600712620629329,0.000600712620629329,Caixa,Títulos de Renda Fixa (PF),
2025-07-02,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50223272.63,32882.79,50223272.63380429,50190389.84034415,50190389.84,0.0006551610797326002,2025.0,7.0,0.0012562672638909422,0.0012562672638909422,Caixa,Títulos de Renda Fixa (PF),
2025-07-03,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50256177.18,32904.54,50256177.177808754,50223272.63380429,50223272.63,0.0006551651908452618,2025.0,7.0,0.0019122555173178846,0.0019122555173178846,Caixa,Títulos de Renda Fixa (PF),
2025-07-04,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50289103.02,32925.84,50289103.02273169,50256177.177808754,50256177.18,0.0006551600589019495,2025.0,7.0,0.0025686684096573043,0.0025686684096573043,Caixa,Títulos de Renda Fixa (PF),
2025-07-07,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50322050.72,32947.7,50322050.7184476,50289103.02273169,50289103.02,0.0006551657917840963,2025.0,7.0,0.003225517105113873,0.003225517105113873,Caixa,Títulos de Renda Fixa (PF),
2025-07-08,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50355019.71,32968.99,50355019.71465541,50322050.7184476,50322050.72,0.000655159905633851,2025.0,7.0,0.003882790240230083,0.003882790240230083,Caixa,Títulos de Renda Fixa (PF),
2025-07-09,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50388010.56,32990.85,50388010.562082775,50355019.71465541,50355019.71,0.0006551650696782129,2025.0,7.0,0.0045404991784465665,0.0045404991784465665,Caixa,Títulos de Renda Fixa (PF),
2025-07-10,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50421022.71,33012.15,50421022.71042862,50388010.562082775,50388010.56,0.0006551588290894303,2025.0,7.0,0.005198632755661237,0.005198632755661237,Caixa,Títulos de Renda Fixa (PF),
2025-07-11,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50454056.71,33034.0,50454056.709567435,50421022.71042862,50421022.71,0.0006551632280391559,2025.0,7.0,0.005857201936718015,0.005857201936718015,Caixa,Títulos de Renda Fixa (PF),
2025-07-14,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50487112.06,33055.35,50487112.059962355,50454056.709567435,50454056.71,0.0006551574274845539,2025.0,7.0,0.0065161967535556364,0.0065161967535556364,Caixa,Títulos de Renda Fixa (PF),
2025-07-15,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50520189.26,33077.2,50520189.26157684,50487112.059962355,50487112.06,0.0006551612609712155,2025.0,7.0,0.007175627174208721,0.007175627174208721,Caixa,Títulos de Renda Fixa (PF),
2025-07-16,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50553288.31,33099.06,50553288.313984305,50520189.26157684,50520189.26,0.0006551650040070913,2025.0,7.0,0.007835493398022253,0.007835493398022253,Caixa,Títulos de Renda Fixa (PF),
2025-07-17,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50586408.77,33120.45,50586408.768412076,50553288.313984305,50553288.31,0.0006551591618390934,2025.0,7.0,0.008495786055148669,0.008495786055148669,Caixa,Títulos de Renda Fixa (PF),
2025-07-18,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50619551.02,33142.25,50619551.0237218,50586408.768412076,50586408.77,0.0006551611550787765,2025.0,7.0,0.009156513319232618,0.009156513319232618,Caixa,Títulos de Renda Fixa (PF),
2025-07-21,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50652715.18,33164.16,50652715.18058871,50619551.0237218,50619551.02,0.0006551650366171425,2025.0,7.0,0.009817677383233914,0.009817677383233914,Caixa,Títulos de Renda Fixa (PF),
2025-07-22,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50685900.74,33185.56,50685900.73892136,50652715.18058871,50652715.18,0.0006551585612278781,2025.0,7.0,0.010479268079850668,0.010479268079850668,Caixa,Títulos de Renda Fixa (PF),
2025-07-23,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50719108.2,33207.46,50719108.198640555,50685900.73892136,50685900.74,0.0006551616823591381,2025.0,7.0,0.011141295377114835,0.011141295377114835,Caixa,Títulos de Renda Fixa (PF),
2025-07-24,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50752337.25,33229.04,50752337.25051122,50719108.198640555,50719108.2,0.0006551582072354074,2025.0,7.0,0.011803752895455766,0.011803752895455766,Caixa,Títulos de Renda Fixa (PF),
2025-07-25,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50785588.34,33251.09,50785588.33916812,50752337.25051122,50752337.25,0.0006551637185864788,2025.0,7.0,0.012466650004682611,0.012466650004682611,Caixa,Títulos de Renda Fixa (PF),
2025-07-28,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50785588.34,0.0,50785588.33916812,50785588.33916812,50785588.34,0.0,2025.0,7.0,0.012466650004682611,0.012466650004682611,Caixa,Títulos de Renda Fixa (PF),
2025-07-29,1295,24D2962583,1355.0,Caixa >> Títulos de Renda Fixa (PF),50852155.77,66567.44,50852155.765981935,50785588.33916812,50785588.34,0.001310754530506447,2025.0,7.0,0.013793745253162903,0.013793745253162903,Caixa,Títulos de Renda Fixa (PF),
2024-12-31,1295,2663,0.0,Risco >> Multimercado Terceiros,741312075.7,959812.14,741312075.7,0.0,0.0,0.0,2024.0,12.0,0.0,0.0,Risco,Multimercado Terceiros,
2025-01-02,1295,2663,0.0,Risco >> Multimercado Terceiros,742242493.5,930417.77,742242493.5,741312075.7,741312075.7,0.0012550959312532888,2025.0,1.0,0.0012550959312533916,0.0012550959312533916,Risco,Multimercado Terceiros,
2025-01-03,1295,2663,0.0,Risco >> Multimercado Terceiros,743838205.8,1595712.37,743838205.8,742242493.5,742242493.5,0.0021498531598150815,2025.0,1.0,0.003407647363022015,0.003407647363022015,Risco,Multimercado Terceiros,
2025-01-06,1295,2663,0.0,Risco >> Multimercado Terceiros,567839557.2,-2498648.64,567839557.2,743838205.8,743838205.8,-0.0033591292037933127,2025.0,1.0,3.707143145526004e-05,3.707143145526004e-05,Risco,Multimercado Terceiros,
2025-01-07,1295,2663,0.0,Risco >> Multimercado Terceiros,567143544.8,-696012.42,567143544.8,567839557.2,567839557.2,-0.0012257202077150394,2025.0,1.0,-0.0011886942154624158,-0.0011886942154624158,Risco,Multimercado Terceiros,
2025-01-08,1295,2663,0.0,Risco >> Multimercado Terceiros,569020399.8,1876855.03,569020399.8,567143544.8,567143544.8,0.003309312161283371,2025.0,1.0,0.002116684185597517,0.002116684185597517,Risco,Multimercado Terceiros,
2025-01-09,1295,2663,0.0,Risco >> Multimercado Terceiros,568784651.3,-235748.5,568784651.3,569020399.8,569020399.8,-0.00041430588443377634,2025.0,1.0,0.001701501346450085,0.001701501346450085,Risco,Multimercado Terceiros,
2025-01-10,1295,2663,0.0,Risco >> Multimercado Terceiros,569946153.5,1161502.15,569946153.5,568784651.3,568784651.3,0.002042077168125581,2025.0,1.0,0.003747053111626819,0.003747053111626819,Risco,Multimercado Terceiros,
2025-01-13,1295,2663,0.0,Risco >> Multimercado Terceiros,568362238.1,-1583915.4,568362238.1,569946153.5,569946153.5,-0.002779061478480528,2025.0,1.0,0.0009575783421860162,0.0009575783421860162,Risco,Multimercado Terceiros,
2025-01-14,1295,2663,0.0,Risco >> Multimercado Terceiros,567023282.3,-1338955.77,567023282.3,568362238.1,568362238.1,-0.002355814092217046,2025.0,1.0,-0.001400491626583955,-0.001400491626583955,Risco,Multimercado Terceiros,
2025-01-15,1295,2663,0.0,Risco >> Multimercado Terceiros,567994867.0,971584.67,567994867.0,567023282.3,567023282.3,0.0017134828504025259,2025.0,1.0,0.00031059150543444325,0.00031059150543444325,Risco,Multimercado Terceiros,
2025-01-16,1295,2663,0.0,Risco >> Multimercado Terceiros,568768973.8,774106.86,568768973.8,567994867.0,567994867.0,0.0013628765064174425,2025.0,1.0,0.0016738913097178454,0.0016738913097178454,Risco,Multimercado Terceiros,
2025-01-17,1295,2663,0.0,Risco >> Multimercado Terceiros,569876508.3,1107534.43,569876508.3,568768973.8,568768973.8,0.001947248322285332,2025.0,1.0,0.0036243991140476606,0.0036243991140476606,Risco,Multimercado Terceiros,
2025-01-20,1295,2663,0.0,Risco >> Multimercado Terceiros,566613000.8,-3263507.47,566613000.8,569876508.3,569876508.3,-0.005726692401719414,2025.0,1.0,-0.0021230491065389323,-0.0021230491065389323,Risco,Multimercado Terceiros,
2025-01-21,1295,2663,0.0,Risco >> Multimercado Terceiros,567202054.6,589053.8,567202054.6,566613000.8,566613000.8,0.0010396051611387595,2025.0,1.0,-0.0010856510782086826,-0.0010856510782086826,Risco,Multimercado Terceiros,
2025-01-22,1295,2663,0.0,Risco >> Multimercado Terceiros,568082631.6,880577.05,568082631.6,567202054.6,567202054.6,0.0015524927014254155,2025.0,1.0,0.00046515615784148423,0.00046515615784148423,Risco,Multimercado Terceiros,
2025-01-23,1295,2663,0.0,Risco >> Multimercado Terceiros,568970339.3,887707.64,568970339.3,568082631.6,568082631.6,0.0015626382336312217,2025.0,1.0,0.0020285212622694893,0.0020285212622694893,Risco,Multimercado Terceiros,
2025-01-24,1295,2663,0.0,Risco >> Multimercado Terceiros,568859180.5,-111158.82,568859180.5,568970339.3,568970339.3,-0.00019536839149956022,2025.0,1.0,0.0018327565618336816,0.0018327565618336816,Risco,Multimercado Terceiros,
2025-01-27,1295,2663,0.0,Risco >> Multimercado Terceiros,567301003.5,-1558176.95,567301003.5,568859180.5,568859180.5,-0.0027391259619479764,2025.0,1.0,-0.0009113895511948522,-0.0009113895511948522,Risco,Multimercado Terceiros,
2025-01-28,1295,2663,0.0,Risco >> Multimercado Terceiros,568238039.1,937035.58,568238039.1,567301003.5,567301003.5,0.0016517432090176092,2025.0,1.0,0.0007388482763206472,0.0007388482763206472,Risco,Multimercado Terceiros,
2025-01-29,1295,2663,0.0,Risco >> Multimercado Terceiros,568155793.3,-82245.8,568155793.3,568238039.1,568238039.1,-0.00014473828631793897,2025.0,1.0,0.000594003050369496,0.000594003050369496,Risco,Multimercado Terceiros,
2025-01-30,1295,2663,0.0,Risco >> Multimercado Terceiros,569113961.7,958168.45,569113961.7,568155793.3,568155793.3,0.0016864537179753158,2025.0,1.0,0.0022814585269974597,0.0022814585269974597,Risco,Multimercado Terceiros,
2025-01-31,1295,2663,0.0,Risco >> Multimercado Terceiros,570474841.6,1360879.85,570474841.6,569113961.7,569113961.7,0.002391225556890076,2025.0,1.0,0.004678139565824191,0.004678139565824191,Risco,Multimercado Terceiros,
2025-02-03,1295,2663,0.0,Risco >> Multimercado Terceiros,571688406.7,1213565.1,571688406.7,570474841.6,570474841.6,0.0021272894289191386,2025.0,2.0,0.0021272894289190436,0.006815380751588718,Risco,Multimercado Terceiros,
