portfolio_id,name
1210,MULLIGAN FIM CP
1695,TITANS FIF MULTI
1270,RAMS FIA
1676,PATRIOTS FIP MULT
1203,CSHG YANKEE FIC FIM IE
1206,2663 FIM CP IE
1205,CSHG GIANTS FIC FIM IE
1693,RED SOX FIP
1875,Carteira 5 - FIPs patrimoniais
1211,BETA RF FIM CP
1297,Carteira 3
1157,ASSAY FIM 95 JGP
1204,CSHG LIONS FIC FIM IE
1234,YANKEE-F FIM IE
1273,CSHG RHONE MASTER FIM
1517,DODGERS FIA
1175,CSHG CHIEFS FIA IE
1209,CSHG WARRIORS FIA IE
1208,CSHG LOGAN FIA IE
1886,2663 II FIF - MULT CRED PRIV RESP LIMITADA
1232,LIONS-F FIM IE
1247,CSHG BRONCOS FIM
1608,FALCONS FIM
1694,CELTICS FIP CLU
1607,HAWKS FIM
1233,GIANTS-F FIM IE
1295,Carteira 1
1296,Carteira 2
